,Gamma,Error,Time,Iterations
74,0.926,7,0.03124380111694336,11
75,0.925,7,0.015621185302734375,11
76,0.924,7,0.015620708465576172,11
77,0.923,7,0.015621423721313477,11
78,0.922,7,0.0,11
79,0.921,8,0.015621662139892578,10
80,0.92,8,0.015621662139892578,10
81,0.919,8,0.0,10
82,0.918,8,0.015620946884155273,10
83,0.917,8,0.015621423721313477,10
84,0.916,8,0.0,10
85,0.915,8,0.015620708465576172,10
86,0.914,8,0.015620946884155273,10
87,0.913,8,0.0,10
88,0.912,8,0.030965805053710938,10
89,0.911,8,0.006640434265136719,10
90,0.91,8,0.03127574920654297,10
91,0.909,8,0.015622615814208984,10
92,0.908,8,0.015587568283081055,10
93,0.907,8,0.0,10
94,0.906,8,0.015621185302734375,10
95,0.905,8,0.0156552791595459,10
96,0.904,8,0.0,10
97,0.903,8,0.015588045120239258,10
98,0.902,9,0.0,9
99,0.901,9,0.01562190055847168,9
100,0.9,9,0.0,9
101,0.899,9,0.015653133392333984,9
102,0.898,9,0.0,9
103,0.897,9,0.022480010986328125,9
104,0.896,9,0.011934518814086914,9
105,0.895,9,0.006981372833251953,9
106,0.894,9,0.0069811344146728516,9
107,0.893,9,0.0069811344146728516,9
108,0.892,9,0.007978439331054688,9
109,0.891,9,0.006981372833251953,9
110,0.89,9,0.008976459503173828,9
111,0.889,9,0.005983829498291016,9
112,0.888,9,0.008977651596069336,9
113,0.887,9,0.006979465484619141,9
114,0.886,9,0.00798177719116211,9
115,0.885,9,0.005950212478637695,9
116,0.884,9,0.007979393005371094,9
117,0.883,9,0.006980180740356445,9
118,0.882,9,0.008977413177490234,9
119,0.881,9,0.014960765838623047,9
120,0.88,9,0.013962030410766602,9
121,0.879,9,0.010970830917358398,9
122,0.878,10,0.005984067916870117,8
123,0.877,10,0.006986379623413086,8
124,0.876,10,0.005978822708129883,8
125,0.875,10,0.00598454475402832,8
126,0.874,10,0.0069811344146728516,8
127,0.873,10,0.0049860477447509766,8
128,0.872,10,0.005984306335449219,8
129,0.871,10,0.005984783172607422,8
130,0.87,10,0.004986286163330078,8
131,0.869,10,0.004984855651855469,8
132,0.868,10,0.005022287368774414,8
133,0.867,10,0.004951953887939453,8
134,0.866,10,0.003292560577392578,8
135,0.865,10,0.0,8
136,0.864,10,0.0,8
137,0.863,10,0.015623331069946289,8
138,0.862,10,0.0,8
139,0.861,10,0.01561880111694336,8
140,0.86,10,0.0,8
141,0.859,10,0.0,8
142,0.858,10,0.015647411346435547,8
143,0.857,10,0.0,8
144,0.856,10,0.0,8
145,0.855,10,0.0,8
146,0.854,10,0.015619516372680664,8
147,0.853,10,0.0,8
148,0.852,10,0.0,8
149,0.851,10,0.0,8
150,0.85,11,0.015621185302734375,7
151,0.849,11,0.0,7
152,0.848,11,0.0,7
153,0.847,11,0.0,7
154,0.846,11,0.0,7
155,0.845,11,0.015620708465576172,7
156,0.844,11,0.0,7
157,0.843,11,0.0,7
158,0.842,11,0.0,7
159,0.841,11,0.0,7
160,0.84,11,0.01562786102294922,7
161,0.839,11,0.0,7
162,0.838,11,0.0,7
163,0.837,11,0.0,7
164,0.836,11,0.0,7
165,0.835,11,0.0,7
166,0.834,11,0.01562190055847168,7
167,0.833,11,0.0,7
168,0.832,11,0.0,7
169,0.831,11,0.0,7
170,0.83,11,0.0,7
171,0.829,11,0.017745494842529297,7
172,0.828,11,0.002991914749145508,7
173,0.827,11,0.0029578208923339844,7
174,0.8260000000000001,11,0.0011205673217773438,7
175,0.825,11,0.0,7
176,0.8240000000000001,11,0.0,7
177,0.823,11,0.0,7
178,0.8220000000000001,11,0.0,7
179,0.821,11,0.015654563903808594,7
180,0.8200000000000001,11,0.0,7
181,0.819,11,0.0,7
182,0.8180000000000001,11,0.0,7
183,0.817,11,0.0,7
184,0.8160000000000001,11,0.0,7
185,0.815,11,0.015622377395629883,7
186,0.8140000000000001,12,0.0,6
187,0.813,12,0.0,6
188,0.812,12,0.0,6
189,0.8109999999999999,12,0.0,6
190,0.81,12,0.0,6
191,0.8089999999999999,12,0.015622138977050781,6
192,0.808,12,0.0,6
193,0.8069999999999999,12,0.0,6
194,0.806,12,0.0,6
195,0.8049999999999999,12,0.0,6
196,0.804,12,0.0,6
197,0.8029999999999999,12,0.015618324279785156,6
198,0.802,12,0.0,6
199,0.8009999999999999,12,0.0,6
200,0.8,12,0.0,6
201,0.7989999999999999,12,0.0,6
202,0.798,12,0.0,6
203,0.7969999999999999,12,0.0,6
204,0.796,12,0.015620231628417969,6
205,0.795,12,0.0,6
206,0.794,12,0.0,6
207,0.793,12,0.0,6
208,0.792,12,0.0,6
209,0.791,12,0.0,6
210,0.79,12,0.0,6
211,0.789,12,0.0,6
212,0.788,12,0.015624523162841797,6
213,0.787,12,0.0,6
214,0.786,12,0.0,6
215,0.785,12,0.0,6
216,0.784,12,0.0,6
217,0.783,12,0.0,6
218,0.782,12,0.0,6
219,0.781,12,0.015620708465576172,6
220,0.78,12,0.0,6
221,0.779,12,0.0,6
222,0.778,12,0.0,6
223,0.777,12,0.0,6
224,0.776,12,0.0,6
225,0.775,12,0.0,6
226,0.774,12,0.0,6
227,0.773,12,0.01633286476135254,6
228,0.772,12,0.002028226852416992,6
229,0.771,12,0.0019953250885009766,6
230,0.77,12,0.0019948482513427734,6
231,0.769,12,0.001960277557373047,6
232,0.768,12,0.0020279884338378906,6
233,0.767,13,0.000997781753540039,5
234,0.766,13,0.0009970664978027344,5
235,0.765,13,0.001995086669921875,5
236,0.764,13,0.0009987354278564453,5
237,0.763,13,0.001992940902709961,5
238,0.762,13,0.000997304916381836,5
239,0.761,13,0.001994609832763672,5
240,0.76,13,0.0019948482513427734,5
241,0.759,13,0.001458883285522461,5
242,0.758,13,0.0,5
243,0.757,13,0.0,5
244,0.756,13,0.0,5
245,0.755,13,0.0,5
246,0.754,13,0.0,5
247,0.753,13,0.0,5
248,0.752,13,0.0,5
249,0.751,13,0.0,5
250,0.75,13,0.0,5
251,0.749,13,0.0156552791595459,5
252,0.748,13,0.0,5
253,0.747,13,0.0,5
254,0.746,13,0.0,5
255,0.745,13,0.0,5
256,0.744,13,0.0,5
257,0.743,13,0.0,5
258,0.742,13,0.0,5
259,0.741,13,0.015589714050292969,5
260,0.74,13,0.0,5
261,0.739,13,0.0,5
262,0.738,13,0.0,5
263,0.737,13,0.0,5
264,0.736,13,0.0,5
265,0.735,13,0.0,5
266,0.734,13,0.0,5
267,0.733,13,0.0,5
268,0.732,13,0.015620946884155273,5
269,0.731,13,0.0,5
270,0.73,13,0.0,5
271,0.729,13,0.0,5
272,0.728,13,0.0,5
273,0.727,13,0.0,5
274,0.726,13,0.0,5
275,0.725,13,0.0,5
276,0.724,13,0.0,5
277,0.723,13,0.0,5
278,0.722,13,0.0,5
279,0.721,13,0.01562047004699707,5
